Job Title,Company Name,Location,Skills,Links
"Senior Python,Django Back-End Developer",Your Parts -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · back-end · Back-End Developer · Computer Science · developer · Django · Python · Software Development · Software Engineering,https://wuzzuf.net//jobs/p/TX1vFJhjI84v-Senior-PythonDjango-Back-End-Developer-Your-Parts-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Regular Python Developer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Python · c++ · Software Development,https://wuzzuf.net//jobs/p/PIDU3P1mRuKG-Regular-Python-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer (Relocation),Musala Soft -,"Sofia, Bulgaria ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · backend · Computer Science · Development · English · Information Technology (IT) · OOP · Software Development · Software · Kubernetes,https://wuzzuf.net//jobs/p/njyfOAPiZK5v-Senior-Python-Developer-Relocation-Musala-Soft-Sofia-Bulgaria?o=3&l=sp&t=sj&a=python|search-v3|hpb
Senior Software Engineer - Python,ITWORX -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · Python · React · Django · Information Technology (IT) · Software Engineering · AWS,https://wuzzuf.net//jobs/p/7lioBbpNN2sp-Senior-Software-Engineer---Python-ITWORX-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Senior Full Stack React/ Python (Django) Developer - Remote,GetTechForce.com -,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · APIs · CSS · Design · Development · Front end · HTML,https://wuzzuf.net//jobs/p/JbQeLPSkcsfX-Senior-Full-Stack-React-Python-Django-Developer---Remote-GetTechForce-com-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Flask · Python · Software Development · Computer Science · Information Technology (IT) · Frameworks · Kubernetes,https://wuzzuf.net//jobs/p/MEdF7MFl6qZV-Python-Developer-GetTechForce-com-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design,https://wuzzuf.net//jobs/p/eALeQDui1EFp-Python-Developer-OdooTec-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Senior Full Stack Python Developer,Luftborn -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Python · Computer Science · Software · Software Development · python development · HTML · CSS · JavaScript · SQL,https://wuzzuf.net//jobs/p/h59y1PZGoW5l-Senior-Full-Stack-Python-Developer-Luftborn-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Senior Java/ Scala Backend Developer with Python experience- Remote,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AngularJS · Computer Science · Design · Development · HTML5 · Information Technology (IT) · JPA · REST,https://wuzzuf.net//jobs/p/jOSpVK9DRTCc-Senior-Java-Scala-Backend-Developer-with-Python-experience--Remote-GetTechForce-com-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Information Technology (IT) · Linux · Python,https://wuzzuf.net//jobs/p/WBHqaf7WeZYe-Senior-Python-Developer-Trufla-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
