Name,Country,Code,Domains,Website
Hope Africa University,Burundi,BI,hopeafricauniversity.org,http://hopeafricauniversity.org/
Université du Burundi,Burundi,BI,ub.edu.bi,http://www.ub.edu.bi/
Université Lumière de Bujumbura,Burundi,BI,ulbu.bi,http://www.ulbu.bi/
Hope Africa University,Burundi,BI,hopeafricauniversity.org,http://hopeafricauniversity.org/
Université du Burundi,Burundi,BI,ub.edu.bi,http://www.ub.edu.bi/
Université Lumière de Bujumbura,Burundi,BI,ulbu.bi,http://www.ulbu.bi/
Adnan Menderes University,Turkey,TR,adu.edu.tr,http://www.adu.edu.tr/
Ahi Evran University,Turkey,TR,ahievran.edu.tr,http://www.ahievran.edu.tr/
Akdeniz University,Turkey,TR,akdeniz.edu.tr,http://www.akdeniz.edu.tr/
Afyon Kocatepe University,Turkey,TR,aku.edu.tr,http://www.aku.edu.tr/
Anadolu University,Turkey,TR,anadolu.edu.tr,http://www.anadolu.edu.tr/
Ankara University,Turkey,TR,ankara.edu.tr,http://www.ankara.edu.tr/
Istanbul Arel University,Turkey,TR,arel.edu.tr,http://www.arel.edu.tr/
Atatürk University,Turkey,TR,atauni.edu.tr,http://www.atauni.edu.tr/
Atilim University,Turkey,TR,atilim.edu.tr,http://www.atilim.edu.tr/
Bahcesehir University,Turkey,TR,bahcesehir.edu.tr,http://www.bahcesehir.edu.tr/
Balikesir University,Turkey,TR,balikesir.edu.tr,http://www.balikesir.edu.tr/
Baskent University,Turkey,TR,baskent.edu.tr,http://www.baskent.edu.tr/
Celal Bayar University,Turkey,TR,"mcbu.edu.tr, cbu.edu.tr",http://www.mcbu.edu.tr/
Beykent University,Turkey,TR,beykent.edu.tr,http://www.beykent.edu.tr/
Bilecik University,Turkey,TR,bilecik.edu.tr,http://www.bilecik.edu.tr/
Istanbul Bilgi University,Turkey,TR,bilgi.edu.tr,http://www.bilgi.edu.tr/
Bilkent University,Turkey,TR,bilkent.edu.tr,http://www.bilkent.edu.tr/
Boğaziçi University,Turkey,TR,boun.edu.tr,http://www.boun.edu.tr/
Cag University,Turkey,TR,cag.edu.tr,http://www.cag.edu.tr/
Cankaya University,Turkey,TR,cankaya.edu.tr,http://www.cankaya.edu.tr/
Canakkale (18th March) University,Turkey,TR,comu.edu.tr,http://www.comu.edu.tr/
Cukurova University,Turkey,TR,cu.edu.tr,http://www.cu.edu.tr/
Cumhuriyet (Republik) University,Turkey,TR,cumhuriyet.edu.tr,http://www.cumhuriyet.edu.tr/
Dokuz Eylül University,Turkey,TR,deu.edu.tr,http://www.deu.edu.tr/
Turkish Naval Academy,Turkey,TR,dho.edu.tr,http://www.dho.edu.tr/
Dicle (Tirgris) University,Turkey,TR,dicle.edu.tr,http://www.dicle.edu.tr/
Dogus University,Turkey,TR,dogus.edu.tr,http://www.dogus.edu.tr/
Dumlupinar University,Turkey,TR,"dumlupinar.edu.tr, dpu.edu.tr",http://www.dumlupinar.edu.tr/
Ege University,Turkey,TR,ege.edu.tr,http://www.ege.edu.tr/
Erciyes University,Turkey,TR,erciyes.edu.tr,http://www.erciyes.edu.tr/
Tobb Economics and Technology University,Turkey,TR,etu.edu.tr,http://www.etu.edu.tr/
Firat (Euphrates) University,Turkey,TR,firat.edu.tr,http://www.firat.edu.tr/
Fenerbahce University,Turkey,TR,fbu.edu.tr,https://fbu.edu.tr/
Gaziantep University,Turkey,TR,gantep.edu.tr,http://www.gantep.edu.tr/
Gazi University Ankara,Turkey,TR,gazi.edu.tr,http://www.gazi.edu.tr/
Gaziosmanpasa University,Turkey,TR,gop.edu.tr,http://www.gop.edu.tr/
Galatasaray University,Turkey,TR,gsu.edu.tr,http://www.gsu.edu.tr/
Gebze Institute of Technology,Turkey,TR,gyte.edu.tr,http://www.gyte.edu.tr/
Halic University,Turkey,TR,halic.edu.tr,http://www.halic.edu.tr/
Harran University,Turkey,TR,harran.edu.tr,http://www.harran.edu.tr/
Hacettepe University,Turkey,TR,"hun.edu.tr, hacettepe.edu.tr",http://www.hun.edu.tr/
Abant Izzet Baysal University,Turkey,TR,ibu.edu.tr,http://www.ibu.edu.tr/
Istanbul Kultur University,Turkey,TR,iku.edu.tr,http://www.iku.edu.tr/
Inönü University,Turkey,TR,inonu.edu.tr,http://www.inonu.edu.tr/
Isik University,Turkey,TR,isikun.edu.tr,http://www.isikun.edu.tr/
Istanbul Ticaret University,Turkey,TR,iticu.edu.tr,http://www.iticu.edu.tr/
Istanbul Technical University,Turkey,TR,itu.edu.tr,http://www.itu.edu.tr/
Izmir Institute of Technology,Turkey,TR,iyte.edu.tr,http://www.iyte.edu.tr/
Kafkas University,Turkey,TR,kafkas.edu.tr,http://www.kafkas.edu.tr/
